מקט,מקט שכבת מפה,שם שכבת מפה,מקט שכבת OSM,שם שכבת OSM,מספר כביש,סוג פרויקט,היררכית כביש/מחלף,מספר נתיבים לכיוון,מחלף?,למחוק,
1,25,מחלף רמת שלמה,,,1,הקמה,,,כן,לא,למחוק
2,13,שדרוג מחלף אולגה,,,2,שדרוג,,,כן,לא,לא
3,14,שיפור תוואי דרך 2 חבצלת עד חדרה,,,2,שדרוג,,,,לא,לא
4,15,רמפה חדשה מחלף גשר הארי נתניה,,,2,הקמה,,,כן,לא,לא
5,18,דרך 4 - חיבור חדש לרמת השרון,,,4,הקמה,,,כן,לא,לא
6,30,מחלף אשדוד צפון,,,4,הקמה,,,כן,לא,לא
7,32,מחלף אשקלון צפון,,,4,הקמה,,,כן,לא,לא
8,19,דרך 5 - חיבור חדש את אפק,,,5,הקמה,,,כן,לא,לא
9,27,כביש 16,,,16,הקמה,,,,לא,לא
10,5,דרך 22 - מחלף שדרות חן מוצקין,,,22,הקמה,,,כן,לא,לא
11,,,3,ביטול מעגל תנועה הכשרת הישוב בכביש 25,25,שדרוג,,,,לא,לא
12,28,שדרוג דרך 38  שד' בן זאב עד שד' נחל נובע,,,38,הקמה,,,,לא,לא
13,29,מחלף בית שמש דרום,,,38,הקמה,,,כן,לא,לא
14,21,כניסה חדשה אירפורט סיטי,,,40,הקמה,,,,לא,לא
15,,,44,הקמת עוקף אל ערוב בציר 60,60,הקמה,,,,לא,לא
16,,,45,הרחבת ציר 60 בין צומת הגוש לאל ערוב,60,הרחבה,,,,לא,לא
17,,,51,כביש 60 - הקמת מנהרה שנייה בכביש המנהרות,60,הרחבה,,,,לא,לא
18,,,60,שדורג צומת המשטרה הבריטית בכביש 60,60,שדרוג,,,,לא,לא
19,,,70,הקמת עוקף עפולה צפון - 65,65,הקמה,,,,לא,לא
20,11,דרך 65 - מחלף משמר הגבול,,,65,הקמה,,,כן,לא,לא
21,12,דרך 65 - מחפון חנה,,,65,הקמה,,,כן,לא,לא
22,10,כניסה חדשה מגדל העמק,,,73,הקמה,,,,לא,לא
23,6,המשך דרך 75 כניסה לנמל חיפה,,,75,הקמה,,,,לא,לא
24,9,רמפה חדשה מחלפון זרזיר,,,77,שדרוג,,,כן,לא,לא
25,7,דרך 79 - מחלף יפתאל,,,79,הקמה,,,כן,לא,לא
26,8,מחלפים ושדרוג דרך 79 – המוביל-נצרת,,,79,שדרוג,,,,לא,לא
27,4,דרך 85 - מחלף כרמיאל מערב,,,85,הקמה,,,כן,לא,לא
28,1,כביש 89  כברי-נהריה,,,89,הקמה,,,,לא,לא
29,,,39,הרחבת כביש 90 ממחלף יוטבתה עד צומת קטורה,90,הרחבה,,,,לא,לא
30,22,כביש 200,,,200,הקמה,,,,לא,לא
31,,,1,הרחבת כביש 232,232,הרחבה,,,,לא,לא
32,33,שדרוג מחלף עידן הנגב,,,310,הקמה,,,כן,לא,לא
33,26,מחלף גינות סחרוב,,,333,הקמה,,,כן,לא,לא
34,,,54,שינוי תוואי כביש 396 ליד הדסה,396,שדרוג,,,,לא,לא
35,24,כניסה חדשה מזכרת בתית/רכבת,,,411,הקמה,,,,לא,לא
36,23,שדרוג מחלף כניסה מרכז עינב,,,431,הקמה,,,כן,לא,לא
37,,,21,הרחבת 444 בין בן שמן וצומת נבלט,444,הרחבה,,,,לא,לא
38,,,30,הרחבת 444 בין צומת המחצבות לצומת גבעת כח,444,הרחבה,,,,לא,לא
39,17,כביש 444 - נוטה ימין - אייל,,,444,הקמה,,,,לא,לא
40,20,מחלף ראש העין דרום,,,444,הקמה,,,כן,לא,לא
41,,,22,הרחבת 453 בין צומת נבלט והכניסה הדרומית לשוהם,453,הרחבה,,,,לא,לא
42,,,37,שינוי תואי 574 בעקבות הקמת מחלף משמר הגבול,574,שדרוג,,,,לא,לא
43,16,דרך 582,,,582,הקמה,,,,לא,לא
44,,,47,הרחבת ציר הגישה לאליקים / יקנעם עילית בכביש 672,672,הרחבה,,,,לא,לא
45,2,כביש 859 – 70 עד 4,,,859,הקמה,,,,לא,לא
46,35,כניסה חדשה אופקים,,,2411,הקמה,,,,לא,לא
47,31,כניסה חדשה גן יבנה,,,3921,הקמה,,,,לא,לא
48,,,57,הרחבת כביש 3965,3965,הרחבה,,,,לא,לא
49,,,9,כניסה דרומית ליבנה,4102,הקמה,,,,לא,לא
50,,,27,שדרוג כביש 7011 - הגישה לנחשולים,7011,שדרוג,,,,לא,לא
51,34,מחלף  מיתר,,,31/60,הקמה,,,כן,לא,לא
52,,,12,בניית כביש 423 והרחבת כביש 4303,423/4303,הקמה,,,,לא,לא
53,,,74,שדרוג מסעף 9779 - 9778,9779/9778,שדרוג,,,,לא,לא
54,,,75,שדרוג מסעף 9779-9888,9779/9888,שדרוג,,,,לא,לא
55,3,כניסה חדשה מעלות,,,,הקמה,,,,לא,לא
,,,58,פרויקט שדרוג כביש 1 בירושלים - בוצע חלקית - רק מחלף רמת שלמה,1,הקמה,,,כן,כן,לא
,,,55,הקמת כביש 16 ושינוי תוואי הכניסה למוצא,16,הקמה,,,,כן,כן
,,,28,הרחבת 38,38,הרחבה,,,,כן,כן
,,,38,הקמת גישה למפרץ חיפה בקצה כביש 75,75,הקמה,,,,כן,כן
,,,64,הרחבת ושדרוג כביש 79,79,הרחבה,,,,כן,כן
,,,71,הקמת מחלף כרמיאל מערב,85,הקמה,,,,כן,כן
,,,50,כביש 89 - הקמת עוקף מזרח נהריה,89,הקמה,,,,כן,כן
,,,19,הקמת כביש 200,200,הקמה,,,,כן,כן
,,,31,מחלף ראש העין דרום (444),444,הקמה,,,כן,כן,כן
,,,32,הקמת מקטע נווה ימין - אייל (444),444,הקמה,,,,כן,כן
,,,49,הקמת כביש 859,859,הקמה,,,,כן,כן
,,,8,כניסה צפונית לגן יבנה,3921,הקמה,,,,כן,כן
,,,36,הקמת מחלף חנה בכביש 65 בהצטלבות עם 652,65/652,הקמה,,,,כן,כן
,,,,36,הקמת מחלף חנה בכביש 65 בהצטלבות עם 652,65/652,הקמה,,,,כן
